cpg,p.value,stderr,parameter,statistic,group1,group2,conf1,conf2,CHR,BP,SYMBOL
cg02779944,0.04661378,0.00318808,136.8140613,-2.007985658,0.019996289,0.026397908,-0.012705905,-9.73E-05,chr1,200004584,NR5A2
cg16659497,0.046642305,0.005200372,146.1366568,-2.006550816,0.027177305,0.037612116,-0.020712464,-0.000157158,chr16,34659664,LINC01566
cg27468145,0.046682116,0.003752682,125.1178004,-2.009067091,0.023210229,0.030749619,-0.014966345,-0.000112435,chr18,24443262,AQP4
cg21379458,0.046708601,0.004309555,123.1761461,-2.00913746,0.026627557,0.035286046,-0.017188868,-0.00012811,chr12,13651438,GRIN2B
cg21195468,0.046722752,0.004644228,130.3232339,-2.007887656,0.021044255,0.030369342,-0.018512922,-0.000137252,chr9,126773095,LHX2
cg09430957,0.046730217,0.008326504,141.1732374,-2.006339186,0.044431589,0.06113738,-0.033166543,-0.000245038,chr19,51419804,KLK4
cg11299477,0.046746697,0.007576644,124.3440941,-2.008591782,0.045915004,0.06113339,-0.030214278,-0.000222493,chr5,153859854,HAND1
cg13818654,0.046749367,0.003099926,106.617294,-2.011930952,0.012201168,0.018438004,-0.012382331,-9.13E-05,chr13,78493126,EDNRB
cg23416667,0.046755756,0.002942477,137.7053884,-2.006549709,0.012895256,0.018799482,-0.011722505,-8.59E-05,chr5,98104874,RGMB
cg00688895,0.04677463,0.008179405,143.9139274,-2.005590031,0.048767941,0.065172475,-0.032571824,-0.000237243,chr7,136161600,CHRM2
cg20383637,0.046777023,0.006762859,138.2719037,-2.006278147,0.031361916,0.044930092,-0.026940167,-0.000196184,chr2,2965744,EIPR1
cg25912911,0.046853196,0.003202641,130.5899775,-2.00663889,0.017099367,0.023525911,-0.012762316,-9.08E-05,chr12,20523121,PDE3A
cg26796245,0.046883423,0.00420366,119.2232397,-2.008189743,0.020532465,0.028974211,-0.016765252,-0.00011824,chr4,113970820,ANK2
cg12172441,0.046901793,0.005780279,139.8835493,-2.004915514,0.03264304,0.044232011,-0.023016977,-0.000160966,chr6,28176163,TOB2P1
cg16924985,0.046902738,0.005191236,120.4484257,-2.007796525,0.022784147,0.033207091,-0.02070084,-0.000145049,chr1,39045049,RRAGC
cg24157892,0.046903468,0.004057255,120.9421001,-2.007704743,0.023025929,0.031171699,-0.016178215,-0.000113325,chr17,59473707,BCAS3
cg26239485,0.046903736,0.007583763,141.3024462,-2.00471801,0.046008224,0.061211531,-0.030195609,-0.000211004,chr2,236514213,AGAP1
cg23262134,0.046931801,0.002736217,135.2868391,-2.00524602,0.016319639,0.021806427,-0.01089808,-7.55E-05,chr20,18038589,OVOL2
cg17591270,0.046940392,0.003760159,138.2495643,-2.004770389,0.02085727,0.028395526,-0.014973113,-0.000103398,chr14,31344150,COCH
cg19978550,0.046986348,0.00673321,128.6941679,-2.005689605,0.036504999,0.050009729,-0.02682685,-0.000182609,chr2,158453812,ACVR1C
cg17973773,0.047004903,0.004518425,130.067965,-2.005312805,0.0262242,0.035285054,-0.017999973,-0.000121736,chr8,27695870,PBK
cg03583111,0.047010698,0.00335859,147.9458214,-2.00293765,0.020775621,0.027502667,-0.01336405,-9.00E-05,chr2,220283442,DES
cg06547959,0.047017451,0.002222564,119.3074046,-2.006932995,0.012721561,0.017182099,-0.00886132,-5.98E-05,chr18,34973990,CELF4
cg15364618,0.047022266,0.009604504,137.4898245,-2.00411485,0.05011099,0.06935952,-0.038240174,-0.000256886,chr14,24780551,CIDEB
cg12268637,0.04704027,0.004095695,131.2153815,-2.004818132,0.023167877,0.031379,-0.01631326,-0.000108986,chr2,176964502,HOXD12
cg02526277,0.047046685,0.009950978,140.9618326,-2.003442303,0.048998584,0.068934794,-0.039608658,-0.000263762,chr11,18230620,SLC25A51P4
cg24668089,0.047085424,0.0021288,121.3930804,-2.005943822,0.013368682,0.017638936,-0.008484638,-5.59E-05,chr3,19189751,KCNH8
cg15050390,0.047141416,0.005340817,136.3219156,-2.003172863,0.031692393,0.042390973,-0.021260147,-0.000137013,chr11,111847984,DIXDC1
cg26986928,0.047162147,0.005526379,114.8286609,-2.006413721,0.021956972,0.033045174,-0.022035069,-0.000141336,chr5,3059243,C5orf38
cg07981013,0.047165352,0.003559348,121.4043053,-2.005203994,0.017965788,0.025103007,-0.01418365,-9.08E-05,chr7,156795767,MNX1
cg06786773,0.047165694,0.002688152,118.9119954,-2.005632605,0.015437158,0.020828603,-0.010714294,-6.86E-05,chr1,228566997,OBSCN
cg02492791,0.047167348,0.001603929,131.7251559,-2.003573141,0.010314949,0.013528538,-0.006386379,-4.08E-05,chr12,85306548,SLC6A15
cg17939805,0.047171198,0.002802715,145.4537259,-2.001750536,0.018018456,0.023628793,-0.011149645,-7.10E-05,chr18,44773988,SKOR2
cg15471501,0.047194027,0.005589075,145.5519431,-2.001529351,0.031734132,0.04292083,-0.022232926,-0.000140469,chr20,21084133,KIZ
cg15637465,0.047201676,0.001908078,147.9677504,-2.001179743,0.013249793,0.017068201,-0.007589011,-4.78E-05,chr5,168728270,SLIT3
cg21149983,0.047216067,0.004079231,128.0060604,-2.003675293,0.022847674,0.031021129,-0.016244906,-0.000102003,chr20,61038949,GATA5
cg00714725,0.047234234,0.004319257,117.6859762,-2.005219326,0.020974133,0.029635192,-0.0172146,-0.000107516,chr10,94825576,CYP26C1
cg01147810,0.047267843,0.002820863,130.4744958,-2.002830268,0.013996911,0.01964662,-0.011230257,-6.92E-05,chr2,175197693,SP9
cg11011938,0.04726805,0.003799164,135.5125429,-2.002117977,0.019331182,0.026937557,-0.015119696,-9.31E-05,chr5,9545976,SEMA5A
cg25094569,0.047299434,0.002383702,147.9738919,-2.000282819,0.018147155,0.022915232,-0.009478571,-5.76E-05,chr11,32448769,WT1
cg03532926,0.047317963,0.005217286,140.3418116,-2.001027542,0.031092763,0.041532696,-0.02075457,-0.000125297,chr7,153584839,DPP6
cg11100933,0.047336857,0.006152112,115.254085,-2.004721602,0.031146267,0.043479538,-0.024519135,-0.000147408,chr5,1174646,SLC6A19
cg05435295,0.047342811,0.007587658,132.8604961,-2.001798738,0.039682454,0.054871418,-0.030197201,-0.000180726,chr11,125703230,PATE4
cg16330247,0.047357198,0.00256904,129.9607077,-2.002085094,0.015362776,0.020506213,-0.010225989,-6.09E-05,chr2,5834638,SOX11
cg24791025,0.0473611,0.0040177,121.1245318,-2.003448737,0.018327922,0.026377177,-0.016003269,-9.52E-05,chr8,65285897,MIR124-2HG
cg13816999,0.047378364,0.005636541,100.5860648,-2.007503425,0.022715038,0.034030413,-0.022497314,-0.000133436,chr11,12398883,PARVA
cg09324669,0.047382946,0.007247131,145.5718841,-1.999795596,0.044768026,0.059260805,-0.028815967,-0.000169593,chr1,234749105,IRF2BP2
cg23370512,0.047382957,0.00669004,145.3673088,-1.999819528,0.03971119,0.053090063,-0.026601187,-0.00015656,chr11,61334385,SYT7
cg10089193,0.04740048,0.006482112,135.6689806,-2.000882115,0.033684637,0.04665458,-0.025788995,-0.000150891,chr16,1140939,C1QTNF8
cg00488692,0.047468344,0.004138107,147.9789351,-1.998737425,0.023833489,0.032104478,-0.016448404,-9.36E-05,chr2,174877566,SP3
cg27277583,0.047481699,0.007634989,144.2210107,-1.999052644,0.03895425,0.054216996,-0.03035368,-0.000171812,chr15,76484625,TMEM266
cg11375458,0.047522373,0.005117125,130.4695707,-2.000496772,0.029743146,0.039979939,-0.02036007,-0.000113514,chr2,177003996,HOXD-AS2
cg02503159,0.047522692,0.004546116,131.4732457,-2.000348377,0.025947167,0.035040983,-0.018086817,-0.000100816,chr6,5026324,RPP40
cg15160198,0.0475337,0.002568286,146.8520836,-1.998269575,0.015874172,0.021006301,-0.010207704,-5.66E-05,chr8,65711369,CYP7B1
cg23422659,0.047552123,0.002398693,105.9142115,2.004651007,0.015068436,0.010259894,5.29E-05,0.009564229,chr17,44929215,WNT9B
cg16220124,0.047553876,0.0022707,137.9127191,-1.999180951,0.015075693,0.019615233,-0.009029428,-4.97E-05,chr4,13549839,LINC01096
cg24505892,0.047603305,0.003969574,134.328918,-1.999209926,0.02419583,0.032131843,-0.015786963,-8.51E-05,chr10,102976702,LBX1
cg05212349,0.047613566,0.009831391,139.6278177,-1.998415146,0.047828294,0.067475495,-0.039084841,-0.000209561,chr10,111234876,XPNPEP1
cg12907379,0.047623724,0.001489877,147.8107772,-1.997339508,0.009726588,0.012702378,-0.00592,-3.16E-05,chr13,100624130,ZIC5
cg19102771,0.047670937,0.005949805,98.53633267,-2.005323175,0.023507782,0.035439064,-0.023737673,-0.000124891,chr2,223166909,CCDC140
cg01788396,0.047675995,0.005119354,133.3892912,-1.998676779,0.025603489,0.035835423,-0.020357545,-0.000106321,chr1,32665584,CCDC28B
cg12797684,0.047696191,0.00836743,129.8901892,-1.998993674,0.040105194,0.056831633,-0.033280529,-0.000172349,chr4,188149410,LOC339975
cg10931190,0.0477138,0.001549782,146.812649,-1.996633709,0.010605983,0.01370033,-0.00615711,-3.16E-05,chr5,110406506,TSLP
cg20518362,0.047737529,0.006562191,145.8242775,-1.996532249,0.038107596,0.051209223,-0.026070915,-0.000132338,chr11,80039295,TENM4
cg20176388,0.047737996,0.00822959,147.9415603,-1.996285093,0.040080702,0.056509309,-0.032691338,-0.000165877,chr2,17724532,VSNL1
cg02087005,0.047760053,0.004112522,138.2624536,-1.997256066,0.021240114,0.029453874,-0.016345328,-8.22E-05,chr7,156837151,MNX1-AS1
cg09814975,0.047770563,0.00727592,140.0989609,-1.996925675,0.031791748,0.04632122,-0.028914269,-0.000144675,chr14,37135384,PAX9
cg17524017,0.047775393,0.002215068,137.6516512,-1.997195997,0.011944045,0.016367969,-0.008803883,-4.40E-05,chr8,70404846,SULF1
cg08630381,0.047798922,0.003040307,104.0727833,-2.002802039,0.014131062,0.020220195,-0.012118126,-6.01E-05,chr13,100612277,ZIC5
cg17934948,0.047810617,0.002942723,132.6271153,-1.99755724,0.017682296,0.023560553,-0.011698999,-5.75E-05,chr1,215255716,KCNK2
cg17782495,0.047837012,0.006409322,128.7202226,-1.997884033,0.036720586,0.049525667,-0.025486343,-0.000123821,chr2,163466280,KCNH7
cg12825070,0.047872647,0.003912267,128.6590275,-1.997568951,0.023157333,0.030972356,-0.015555735,-7.43E-05,chr5,148033708,HTR4
cg20518511,0.047918848,0.003014096,144.7654499,-1.995010383,0.018390204,0.024403356,-0.011970472,-5.58E-05,chr7,5458901,TNRC18
cg00229754,0.047981198,0.007087979,139.0896071,-1.995141676,0.040894586,0.055036108,-0.028155636,-0.000127407,chr15,25018302,SNRPN
cg20627988,0.047996781,0.005027572,132.9985722,-1.995814034,0.026292389,0.036326487,-0.019978441,-8.98E-05,chr10,133946881,JAKMIP3
cg17214107,0.04800298,0.006328292,137.3698181,-1.99516665,0.038083507,0.050709505,-0.02513946,-0.000112535,chr4,123747542,FGF2
cg11246222,0.048004382,0.00729103,102.2052133,-2.001359359,0.034826956,0.049418928,-0.029053348,-0.000130596,chr2,175595175,CHRNA1
cg21969477,0.048004912,0.003401665,144.3573391,-1.994279143,0.018094612,0.024878481,-0.013507373,-6.04E-05,chr17,15166505,PMP22
cg06340987,0.048036318,0.006876014,117.0964913,-1.997981426,0.038883136,0.052621284,-0.027355617,-0.00012068,chr11,20182695,DBX1
cg11019771,0.048049271,0.00293861,143.3026935,-1.994003605,0.017801044,0.023660643,-0.01166822,-5.10E-05,chr7,137085181,DGKI
cg02728263,0.048052537,0.004214183,132.3755034,-1.995396072,0.021763721,0.030172684,-0.016744815,-7.31E-05,chr9,34622261,ARID3C
cg23651826,0.048065631,0.003167119,136.3866489,-1.994728841,0.020181206,0.026498749,-0.012580555,-5.45E-05,chr11,115630531,LINC00900
cg09246203,0.048068124,0.004248433,135.8334025,-1.994779993,0.023748595,0.032223285,-0.016876317,-7.31E-05,chr3,114018592,TIGIT
cg13523557,0.048088959,0.004360637,138.7646042,-1.994207669,0.025109295,0.033805311,-0.017317898,-7.41E-05,chr7,45613725,ADCY1
cg08209764,0.048090425,0.004366413,128.519873,-1.995612658,0.024239031,0.032952699,-0.017353028,-7.43E-05,chr11,134284505,B3GAT1-DT
cg20979979,0.048099113,0.002283578,143.1888582,-1.993566679,0.014394397,0.018946861,-0.009066343,-3.86E-05,chr4,141218072,SCOC-AS1
cg15503722,0.048103186,0.007469358,130.9019195,-1.995147342,0.034080567,0.048983037,-0.029678745,-0.000126195,chr11,122850522,BSX
cg10731022,0.048119624,0.001460704,147.7348845,-1.992851765,0.009585255,0.012496222,-0.005797541,-2.44E-05,chr5,139927252,ANKHD1-EIF4EBP3
cg18493027,0.048144311,0.00153631,147.9910966,1.992600092,0.013915486,0.010854234,2.53E-05,0.006097191,chr14,70346151,SMOC1
cg17462107,0.048179493,0.002544732,141.9683841,-1.992988722,0.016222385,0.021294006,-0.010102084,-4.12E-05,chr5,66199867,MAST4
cg15700739,0.048197765,0.00163658,143.8481814,-1.992597132,0.010755037,0.014016081,-0.006495897,-2.62E-05,chr12,54427700,HOXC4
cg10189695,0.048226317,0.00434023,132.5158569,-1.993804198,0.023667027,0.032320596,-0.017238665,-6.85E-05,chr4,8582300,GPR78
cg03909500,0.048227633,0.002749499,139.3416184,-1.992881416,0.017290078,0.022769503,-0.010915556,-4.33E-05,chr5,33936597,RXFP3
cg16818830,0.048228607,0.006386112,130.0802382,-1.994131898,0.029275601,0.04201035,-0.025368834,-0.000100664,chr17,37379606,STAC2
cg18350895,0.048243755,0.003233251,147.7525623,-1.991730426,0.02090358,0.027343343,-0.012829151,-5.04E-05,chr14,30397419,PRKD1
cg19321979,0.048286031,0.007034533,143.3353662,-1.991862765,0.038335501,0.052347325,-0.027916653,-0.000106995,chr1,156610966,BCAN
cg06367659,0.048292362,0.002285024,147.9787807,-1.991267345,0.01426851,0.018818604,-0.009065588,-3.46E-05,chr22,50919817,ADM2
cg19711579,0.048293778,0.003094537,133.0703953,-1.993117735,0.016434341,0.022602118,-0.012288621,-4.69E-05,chr2,182545562,CERKL
cg04881125,0.048302087,0.002919944,147.2113465,1.991266443,0.027043604,0.021229217,4.40E-05,0.011584809,chr1,186649253,PTGS2
cg06821107,0.048311745,0.002793649,138.4801016,-1.992232996,0.020481529,0.026047129,-0.011089322,-4.19E-05,chr9,136243548,STKLD1
cg03000419,0.048320743,0.00763822,146.3060516,-1.991201912,0.038629299,0.053838536,-0.030304736,-0.000113739,chr11,82997694,CCDC90B
cg13546414,0.048328197,0.004237382,143.2020861,-1.991499085,0.022923932,0.031362674,-0.016814641,-6.28E-05,chr14,37053664,NKX2-8
cg25142028,0.048362112,0.005345019,141.9161031,-1.991349486,0.027176104,0.037819904,-0.021209946,-7.77E-05,chr10,134943309,ADGRA1
cg25716623,0.048364867,0.003877225,144.06926,-1.991065839,0.019765489,0.027485299,-0.015383406,-5.62E-05,chr15,89921845,MIR9-3HG
cg22826333,0.048390379,0.005647466,132.8792755,-1.99227362,0.031165419,0.042416717,-0.022421861,-8.07E-05,chr4,48987791,CWH43
cg12497914,0.048403058,0.003434531,135.6931487,-1.991775601,0.019170156,0.026010972,-0.013632948,-4.87E-05,chr20,2674285,EBF4
cg03758467,0.048407816,0.008652921,143.9914784,-1.990688945,0.038103328,0.055328601,-0.03432843,-0.000122118,chr5,140207636,PCDHA5
cg15166332,0.048440001,0.001673583,144.4312113,-1.990347863,0.011661299,0.014992311,-0.006638889,-2.31E-05,chr10,35929604,FZD8
cg25456849,0.048449052,0.00615274,142.7568275,-1.990465981,0.033323333,0.045570153,-0.024409071,-8.46E-05,chr15,79575334,ANKRD34C
cg26673012,0.048454818,0.002450134,146.4430909,-1.989981313,0.013755942,0.018631662,-0.009717908,-3.35E-05,chr7,35293753,TBX20
cg04583232,0.048457113,0.003842102,94.468188,-1.999223714,0.01411936,0.021800582,-0.015309312,-5.31E-05,chr11,22362874,SLC17A6
cg09813525,0.048464538,0.002313394,131.3766924,-1.991817783,0.015052851,0.01966071,-0.00918418,-3.15E-05,chr13,53420386,PCDH8
cg21678312,0.048481277,0.002856801,143.0540512,-1.990140894,0.015724731,0.021410167,-0.011332433,-3.84E-05,chr12,71314587,PTPRR
cg25800765,0.048507271,0.002716232,144.4231892,-1.989745012,0.020982488,0.026387096,-0.01077331,-3.59E-05,chr12,85673347,ALX1
cg12921750,0.048518893,0.001901592,147.7866898,-1.989254243,0.013134079,0.016916829,-0.007540575,-2.49E-05,chr18,70535336,NETO1
cg23118730,0.048531236,0.005221001,121.6856115,-1.992708526,0.023538311,0.033942244,-0.020739693,-6.82E-05,chr14,74706074,VSX2
cg04103847,0.048544203,0.005166274,137.2871285,-1.990296866,0.03258272,0.042865139,-0.02049818,-6.67E-05,chr10,107442878,SORCS3
cg03553407,0.048557588,0.007029111,109.2857332,-1.994767426,0.032790439,0.04681188,-0.027952501,-9.04E-05,chr4,148863880,ARHGAP10
cg06165395,0.048560402,0.004213516,143.8553041,-1.989335647,0.025010407,0.033392506,-0.016710501,-5.37E-05,chr1,37500790,GRIK3
cg08177359,0.048571198,0.00315121,145.0559383,-1.989097822,0.019796158,0.026064222,-0.012496282,-3.98E-05,chr15,81071843,CEMIP
cg01933073,0.048575001,0.010342908,126.5785942,-1.991533706,0.059189178,0.079787429,-0.041065656,-0.000130846,chr4,186732942,SORBS2
cg18309817,0.048581892,0.003318701,127.200185,-1.991376917,0.019479746,0.026088531,-0.013175796,-4.18E-05,chr18,12254153,CIDEA
cg22516643,0.048583744,0.004431462,141.0521964,-1.989465197,0.02399029,0.03280653,-0.017576909,-5.56E-05,chr1,107682302,NTNG1
cg18573383,0.048596541,0.002631237,144.8610911,-1.988893543,0.017153657,0.022386906,-0.010433824,-3.27E-05,chr12,75603401,KCNC2
cg17737621,0.048601502,0.00395232,147.819598,-1.988510569,0.027222381,0.035081611,-0.015669577,-4.89E-05,chr20,21372480,XRN2
cg17154395,0.048628883,0.009388378,139.063087,-1.989309347,0.046799404,0.065475793,-0.037238808,-0.00011397,chr17,37752605,NEUROD2
cg21734094,0.048672718,0.006578151,139.0144829,-1.988922932,0.033359275,0.046442712,-0.026089599,-7.73E-05,chr19,30867158,ZNF536
cg04732303,0.048676495,0.002408533,138.6670711,-1.988933286,0.015400415,0.020190826,-0.009552609,-2.82E-05,chr14,76848081,ESRRB
cg04238348,0.048677117,0.006717832,130.859376,-1.989982596,0.035711071,0.049079441,-0.026657977,-7.88E-05,chr1,215257222,KCNK2
cg21165027,0.048680726,0.005286441,132.6360717,-1.989699204,0.024377108,0.034895536,-0.020975068,-6.18E-05,chr5,172663784,NKX2-5
cg20115218,0.048695883,0.003364182,140.3043872,-1.988553599,0.019053339,0.025743195,-0.0133409,-3.88E-05,chr11,22214726,ANO5
cg09160020,0.048696133,0.006499843,146.1420722,-1.987854263,0.030994323,0.043915064,-0.025766572,-7.49E-05,chr5,72740748,BTF3
cg01388847,0.048697442,0.009748748,131.9754606,-1.98964196,0.047502566,0.066899084,-0.038680537,-0.000112498,chr16,412428,MRPL28
cg26662049,0.048698296,0.005297681,147.9852267,-1.987626349,0.024999754,0.035529565,-0.020998687,-6.09E-05,chr15,89903672,MIR9-3
cg24362716,0.048705793,0.007926443,143.7325675,-1.988048699,0.035593474,0.051351629,-0.031425611,-9.07E-05,chr11,1219189,MUC5B
cg14665951,0.048734767,0.005052908,143.2420031,-1.987848038,0.030120038,0.040164452,-0.020032314,-5.65E-05,chr2,220492021,SLC4A3
cg08069088,0.048753342,0.001573945,107.4523474,-1.993387605,0.008223728,0.01136121,-0.006257494,-1.75E-05,chr19,3606835,TBXA2R
cg11678324,0.048758009,0.005105366,109.3626498,-1.992945699,0.023277823,0.033452541,-0.020293011,-5.64E-05,chr4,166794206,TLL1
cg14254080,0.048760113,0.004599987,147.9437516,-1.987078886,0.032571226,0.041711764,-0.018230705,-5.04E-05,chr2,85106954,TRABD2A
cg06746118,0.048764315,0.002071463,138.0447939,-1.988227285,0.014776042,0.018894581,-0.008214439,-2.26E-05,chr10,118922887,MIR3663
cg12883523,0.048790296,0.003242088,144.049943,-1.987256274,0.018365108,0.024807967,-0.012851071,-3.46E-05,chr8,55372392,SOX17
cg01109464,0.048824685,0.004316734,131.7454962,-1.9885356,0.021445941,0.030029921,-0.017123059,-4.49E-05,chr15,60292819,FOXB1
cg04418091,0.048829332,0.006663679,146.8101402,-1.986588926,0.035539898,0.04877789,-0.026407119,-6.89E-05,chr12,54071168,ATP5MC2
cg20248093,0.048839029,0.002899572,135.6330668,-1.987874929,0.01723846,0.023002446,-0.011498206,-2.98E-05,chr17,77722496,ENPP7
cg08850461,0.048844208,0.004646056,129.4062333,-1.988697026,0.021019503,0.0302591,-0.018431659,-4.75E-05,chr5,87990082,LINC00461
cg17349151,0.048893256,0.003128338,147.791953,-1.985908735,0.02136213,0.027574724,-0.012394645,-3.05E-05,chr14,58448871,ARMH4
cg03733979,0.048896328,0.007448712,142.5133255,-1.986493458,0.033612374,0.048409193,-0.029521059,-7.26E-05,chr20,61718618,LINC01749
cg21001198,0.048932862,0.00146902,146.2462633,-1.985730669,0.009075245,0.011992323,-0.005820327,-1.38E-05,chr20,6033205,LRRN4
cg17453460,0.04893472,0.004536519,135.9452217,-1.986979604,0.028632925,0.037646895,-0.017985243,-4.27E-05,chr10,118369423,PNLIPRP1
cg11341981,0.048945248,0.006961696,131.374023,-1.987511383,0.040144526,0.053980976,-0.02760798,-6.49E-05,chr1,203096048,ADORA1
cg02743222,0.04895038,0.003115458,128.4907743,-1.987883301,0.01685484,0.023048007,-0.012357408,-2.89E-05,chr5,170736335,TLX3
cg18644191,0.048960645,0.002307736,136.106912,-1.986727152,0.01404405,0.018628892,-0.009148499,-2.12E-05,chr1,99730224,PLPPR4
cg22706505,0.049014596,0.007190208,146.2920234,-1.984998388,0.036906163,0.051178714,-0.028482651,-6.25E-05,chr2,202563406,MPP4
cg02593517,0.049052502,0.004617752,147.9992095,-1.984469367,0.026249284,0.035413071,-0.018289031,-3.85E-05,chr16,56486336,OGFOD1
cg14900124,0.049073742,0.008955356,114.5177996,-1.989105438,0.034506578,0.052319725,-0.035552778,-7.35E-05,chr2,177017630,HOXD4
cg06897264,0.049077005,0.001207144,141.0826525,-1.985059184,0.008314878,0.01071113,-0.004782681,-9.82E-06,chr6,28979271,GPX6
cg21864259,0.049089472,0.001826933,139.6477714,-1.985125973,0.011276073,0.014902764,-0.007238714,-1.47E-05,chr3,56502747,ERC2
cg26298814,0.049095361,0.002024784,128.4366593,-1.986598861,0.012207178,0.016229611,-0.008028683,-1.62E-05,chr3,33259889,SUSD5
cg12699286,0.049109884,0.002525315,140.0206001,-1.984898132,0.014443566,0.01945606,-0.010005172,-1.98E-05,chr12,54394194,HOXC9
cg04986504,0.049156538,0.007310997,147.4425044,-1.983608336,0.043003642,0.057505798,-0.028950032,-5.43E-05,chr11,12031266,DKK3
cg07089275,0.049163281,0.007343752,115.2221965,-1.988175607,0.02838281,0.042983478,-0.029146929,-5.44E-05,chr16,1129990,SSTR5
cg10241484,0.049170871,0.003491775,147.9782311,-1.983421519,0.022336016,0.029261678,-0.013825846,-2.55E-05,chr16,62070219,CDH8
cg17549100,0.049172216,0.003822288,136.1067759,-1.984845114,0.021388006,0.028974656,-0.015145404,-2.79E-05,chr3,89163702,EPHA3
cg06602200,0.049201093,0.008585025,119.0357029,-1.987159141,0.034830062,0.051889873,-0.034058967,-6.07E-05,chr11,46412424,CHRM4
cg11268739,0.049206568,0.0036239,115.3525763,-1.987765737,0.01846975,0.025673215,-0.014381481,-2.54E-05,chr14,48145588,MDGA2
cg11611600,0.049246668,0.003484644,128.3511061,-1.985266102,0.019634413,0.026552359,-0.013812729,-2.32E-05,chr15,84323154,ADAMTSL3
cg07008600,0.049300266,0.006557135,135.8571581,-1.983742216,0.033804678,0.046812345,-0.025974923,-4.04E-05,chr3,33261204,SUSD5
cg27170782,0.049310397,0.004055775,124.0099685,-1.985365051,0.020895006,0.028947199,-0.016079701,-2.47E-05,chr17,46800028,PRAC1
cg26998537,0.049319384,0.004872242,138.5045941,-1.983230588,0.031318476,0.040981256,-0.019296372,-2.92E-05,chr14,57277366,OTX2
cg15006101,0.049333914,0.006794083,129.9479905,-1.984258772,0.033049342,0.046530561,-0.02692255,-3.99E-05,chr5,140627399,PCDHB15
cg14548882,0.049339285,0.003414748,147.5692847,-1.98197651,0.02307518,0.02984313,-0.013516072,-1.98E-05,chr10,99393502,MORN4
cg17029168,0.049348372,0.003447418,119.138343,-1.985831702,0.018014754,0.024860746,-0.013672142,-1.98E-05,chr20,21494547,NKX2-2
cg10460820,0.049377634,0.00219813,141.8489133,-1.982301464,0.015493197,0.019850554,-0.008702685,-1.20E-05,chr4,94749921,ATOH1
cg00303418,0.049380795,0.003900174,134.5135459,-1.983207991,0.020504459,0.028239314,-0.015448451,-2.13E-05,chr7,63019920,ZNF733P
cg14826425,0.049394147,0.002943884,136.8574685,-1.982780304,0.018129481,0.023966555,-0.011658456,-1.57E-05,chr7,27232837,HOXA13
cg11716598,0.04940829,0.004855238,106.9972664,-1.987623201,0.022217405,0.031867788,-0.019275328,-2.54E-05,chr10,135139716,PRAP1
cg08552198,0.049419636,0.003354652,120.7226165,-1.9849308,0.015076672,0.021735423,-0.013300323,-1.72E-05,chr16,49309124,CBLN1
cg23418591,0.049425355,0.003918108,140.1511563,-1.982087192,0.025819448,0.03358548,-0.01551227,-1.98E-05,chr20,57090317,APCDD1L-DT
cg24611709,0.049436339,0.010839659,139.3680819,-1.982087532,0.06219977,0.083684923,-0.042916589,-5.37E-05,chr7,96656358,DLX5
cg21878275,0.049459692,0.002426115,140.7748692,-1.981707175,0.014790855,0.019598704,-0.009604179,-1.15E-05,chr3,64673501,ADAMTS9-AS2
cg14744743,0.049471777,0.002847355,129.5009474,-1.98310272,0.018685,0.024331596,-0.011279951,-1.32E-05,chr18,13871595,MC2R
cg03554573,0.049514696,0.014215468,142.9484395,-1.98095976,0.058308243,0.086468514,-0.056259963,-6.06E-05,chr11,111155021,C11orf53
cg09452082,0.049523715,0.008204735,134.244857,-1.981980825,0.045460321,0.061721949,-0.032488895,-3.44E-05,chr15,96886018,NR2F2
cg07598561,0.049543145,0.006131081,122.3958269,-1.98356132,0.029793746,0.041955121,-0.024298069,-2.47E-05,chr15,41218984,DLL4
cg08696727,0.049550235,0.003388368,120.6202366,-1.983791067,0.017260135,0.02398195,-0.013430196,-1.34E-05,chr10,28034797,MKX
cg16135698,0.049575379,0.003259217,146.5893191,-1.98000391,0.016642046,0.023095309,-0.012894387,-1.21E-05,chr17,46825179,TTLL6
cg16599136,0.049587923,0.00446136,125.7061036,-1.982642619,0.025593988,0.03443927,-0.017674382,-1.62E-05,chr19,49561594,NTF4
cg10264012,0.049599472,0.00371837,131.9586297,-1.98162555,0.019611345,0.026979761,-0.01472374,-1.31E-05,chr6,78359965,HTR1B
cg21384645,0.049619793,0.002417806,119.1986055,-1.983416287,0.012761811,0.017557327,-0.009582931,-8.10E-06,chr2,176957304,HOXD13
cg02738617,0.049627044,0.009019951,133.1508015,-1.981217817,0.038254191,0.05612468,-0.035711418,-2.96E-05,chr2,58023996,VRK2
cg16360868,0.049628505,0.004600081,115.6964773,-1.983956675,0.021215107,0.030341469,-0.018237655,-1.51E-05,chr1,4832593,AJAP1
cg03317642,0.049675557,0.009513341,146.3040515,-1.979154943,0.047336352,0.066164728,-0.0376297,-2.71E-05,chr5,72510218,TMEM174
cg18855674,0.049717588,0.003343682,112.6320402,-1.983740717,0.016924643,0.023557641,-0.01325767,-8.33E-06,chr8,72469553,EYA1
cg20510745,0.049760977,0.002037044,142.1509615,-1.978887686,0.014770458,0.018801539,-0.008057896,-4.27E-06,chr13,52702493,NEK5
